example_id,concept_id,C_entity,C_country,C_continent,C_language,source_entity_id,source_country_id,provenance_url,factual_source,S_family,S_variant,text,C_split,S_split,generator,prompt_version,generation_seed
capital-003-declarative,capital-003,Kingston,Jamaica,North America,English,http://www.wikidata.org/entity/Q34692,http://www.wikidata.org/entity/Q766,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q766,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Kingston is in Jamaica, a country in North America where English is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-003-question,capital-003,Kingston,Jamaica,North America,English,http://www.wikidata.org/entity/Q34692,http://www.wikidata.org/entity/Q766,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q766,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Kingston? Answer: Jamaica; North America; English.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-003-paraphrase,capital-003,Kingston,Jamaica,North America,English,http://www.wikidata.org/entity/Q34692,http://www.wikidata.org/entity/Q766,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q766,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Kingston: country=Jamaica; continent=North America; official language=English.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-003-formal,capital-003,Kingston,Jamaica,North America,English,http://www.wikidata.org/entity/Q34692,http://www.wikidata.org/entity/Q766,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q766,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Kingston. Country: Jamaica. Continent: North America. Official language: English.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-003-structured,capital-003,Kingston,Jamaica,North America,English,http://www.wikidata.org/entity/Q34692,http://www.wikidata.org/entity/Q766,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q766,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Jamaica"", ""entity"": ""Kingston"", ""language"": ""English""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-004-declarative,capital-004,St. George's,Grenada,North America,English,http://www.wikidata.org/entity/Q41547,http://www.wikidata.org/entity/Q769,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q769,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"St. George's is in Grenada, a country in North America where English is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-004-question,capital-004,St. George's,Grenada,North America,English,http://www.wikidata.org/entity/Q41547,http://www.wikidata.org/entity/Q769,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q769,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to St. George's? Answer: Grenada; North America; English.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-004-paraphrase,capital-004,St. George's,Grenada,North America,English,http://www.wikidata.org/entity/Q41547,http://www.wikidata.org/entity/Q769,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q769,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For St. George's: country=Grenada; continent=North America; official language=English.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-004-formal,capital-004,St. George's,Grenada,North America,English,http://www.wikidata.org/entity/Q41547,http://www.wikidata.org/entity/Q769,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q769,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: St. George's. Country: Grenada. Continent: North America. Official language: English.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-004-structured,capital-004,St. George's,Grenada,North America,English,http://www.wikidata.org/entity/Q41547,http://www.wikidata.org/entity/Q769,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q769,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Grenada"", ""entity"": ""St. George's"", ""language"": ""English""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-005-declarative,capital-005,Guatemala City,Guatemala,North America,Spanish,http://www.wikidata.org/entity/Q1555,http://www.wikidata.org/entity/Q774,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q774,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Guatemala City is in Guatemala, a country in North America where Spanish is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-005-question,capital-005,Guatemala City,Guatemala,North America,Spanish,http://www.wikidata.org/entity/Q1555,http://www.wikidata.org/entity/Q774,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q774,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Guatemala City? Answer: Guatemala; North America; Spanish.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-005-paraphrase,capital-005,Guatemala City,Guatemala,North America,Spanish,http://www.wikidata.org/entity/Q1555,http://www.wikidata.org/entity/Q774,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q774,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Guatemala City: country=Guatemala; continent=North America; official language=Spanish.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-005-formal,capital-005,Guatemala City,Guatemala,North America,Spanish,http://www.wikidata.org/entity/Q1555,http://www.wikidata.org/entity/Q774,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q774,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Guatemala City. Country: Guatemala. Continent: North America. Official language: Spanish.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-005-structured,capital-005,Guatemala City,Guatemala,North America,Spanish,http://www.wikidata.org/entity/Q1555,http://www.wikidata.org/entity/Q774,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q774,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Guatemala"", ""entity"": ""Guatemala City"", ""language"": ""Spanish""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-006-declarative,capital-006,Nassau,The Bahamas,North America,English,http://www.wikidata.org/entity/Q2467,http://www.wikidata.org/entity/Q778,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q778,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Nassau is in The Bahamas, a country in North America where English is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-006-question,capital-006,Nassau,The Bahamas,North America,English,http://www.wikidata.org/entity/Q2467,http://www.wikidata.org/entity/Q778,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q778,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Nassau? Answer: The Bahamas; North America; English.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-006-paraphrase,capital-006,Nassau,The Bahamas,North America,English,http://www.wikidata.org/entity/Q2467,http://www.wikidata.org/entity/Q778,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q778,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Nassau: country=The Bahamas; continent=North America; official language=English.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-006-formal,capital-006,Nassau,The Bahamas,North America,English,http://www.wikidata.org/entity/Q2467,http://www.wikidata.org/entity/Q778,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q778,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Nassau. Country: The Bahamas. Continent: North America. Official language: English.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-006-structured,capital-006,Nassau,The Bahamas,North America,English,http://www.wikidata.org/entity/Q2467,http://www.wikidata.org/entity/Q778,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q778,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""The Bahamas"", ""entity"": ""Nassau"", ""language"": ""English""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-007-declarative,capital-007,Tegucigalpa,Honduras,North America,Spanish,http://www.wikidata.org/entity/Q3238,http://www.wikidata.org/entity/Q783,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q783,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Tegucigalpa is in Honduras, a country in North America where Spanish is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-007-question,capital-007,Tegucigalpa,Honduras,North America,Spanish,http://www.wikidata.org/entity/Q3238,http://www.wikidata.org/entity/Q783,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q783,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Tegucigalpa? Answer: Honduras; North America; Spanish.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-007-paraphrase,capital-007,Tegucigalpa,Honduras,North America,Spanish,http://www.wikidata.org/entity/Q3238,http://www.wikidata.org/entity/Q783,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q783,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Tegucigalpa: country=Honduras; continent=North America; official language=Spanish.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-007-formal,capital-007,Tegucigalpa,Honduras,North America,Spanish,http://www.wikidata.org/entity/Q3238,http://www.wikidata.org/entity/Q783,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q783,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Tegucigalpa. Country: Honduras. Continent: North America. Official language: Spanish.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-007-structured,capital-007,Tegucigalpa,Honduras,North America,Spanish,http://www.wikidata.org/entity/Q3238,http://www.wikidata.org/entity/Q783,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q783,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Honduras"", ""entity"": ""Tegucigalpa"", ""language"": ""Spanish""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-008-declarative,capital-008,Roseau,Dominica,North America,English,http://www.wikidata.org/entity/Q36281,http://www.wikidata.org/entity/Q784,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q784,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Roseau is in Dominica, a country in North America where English is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-008-question,capital-008,Roseau,Dominica,North America,English,http://www.wikidata.org/entity/Q36281,http://www.wikidata.org/entity/Q784,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q784,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Roseau? Answer: Dominica; North America; English.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-008-paraphrase,capital-008,Roseau,Dominica,North America,English,http://www.wikidata.org/entity/Q36281,http://www.wikidata.org/entity/Q784,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q784,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Roseau: country=Dominica; continent=North America; official language=English.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-008-formal,capital-008,Roseau,Dominica,North America,English,http://www.wikidata.org/entity/Q36281,http://www.wikidata.org/entity/Q784,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q784,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Roseau. Country: Dominica. Continent: North America. Official language: English.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-008-structured,capital-008,Roseau,Dominica,North America,English,http://www.wikidata.org/entity/Q36281,http://www.wikidata.org/entity/Q784,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q784,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Dominica"", ""entity"": ""Roseau"", ""language"": ""English""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-009-declarative,capital-009,Santo Domingo,Dominican Republic,North America,Spanish,http://www.wikidata.org/entity/Q34820,http://www.wikidata.org/entity/Q786,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q786,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Santo Domingo is in Dominican Republic, a country in North America where Spanish is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-009-question,capital-009,Santo Domingo,Dominican Republic,North America,Spanish,http://www.wikidata.org/entity/Q34820,http://www.wikidata.org/entity/Q786,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q786,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Santo Domingo? Answer: Dominican Republic; North America; Spanish.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-009-paraphrase,capital-009,Santo Domingo,Dominican Republic,North America,Spanish,http://www.wikidata.org/entity/Q34820,http://www.wikidata.org/entity/Q786,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q786,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Santo Domingo: country=Dominican Republic; continent=North America; official language=Spanish.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-009-formal,capital-009,Santo Domingo,Dominican Republic,North America,Spanish,http://www.wikidata.org/entity/Q34820,http://www.wikidata.org/entity/Q786,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q786,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Santo Domingo. Country: Dominican Republic. Continent: North America. Official language: Spanish.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-009-structured,capital-009,Santo Domingo,Dominican Republic,North America,Spanish,http://www.wikidata.org/entity/Q34820,http://www.wikidata.org/entity/Q786,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q786,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Dominican Republic"", ""entity"": ""Santo Domingo"", ""language"": ""Spanish""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-010-declarative,capital-010,Port-au-Prince,Haiti,North America,French,http://www.wikidata.org/entity/Q34261,http://www.wikidata.org/entity/Q790,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q790,Wikidata SPARQL snapshot (2026-08-25),declarative,v1,"Port-au-Prince is in Haiti, a country in North America where French is an official language.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-010-question,capital-010,Port-au-Prince,Haiti,North America,French,http://www.wikidata.org/entity/Q34261,http://www.wikidata.org/entity/Q790,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q790,Wikidata SPARQL snapshot (2026-08-25),question,v1,"Which country, continent, and official language correspond to Port-au-Prince? Answer: Haiti; North America; French.",C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-010-paraphrase,capital-010,Port-au-Prince,Haiti,North America,French,http://www.wikidata.org/entity/Q34261,http://www.wikidata.org/entity/Q790,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q790,Wikidata SPARQL snapshot (2026-08-25),paraphrase,v1,For Port-au-Prince: country=Haiti; continent=North America; official language=French.,C_train,S_train,code/generate_cs_dataset.py,template-v1,20260825
capital-010-formal,capital-010,Port-au-Prince,Haiti,North America,French,http://www.wikidata.org/entity/Q34261,http://www.wikidata.org/entity/Q790,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q790,Wikidata SPARQL snapshot (2026-08-25),formal,v1,Entity: Port-au-Prince. Country: Haiti. Continent: North America. Official language: French.,C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
capital-010-structured,capital-010,Port-au-Prince,Haiti,North America,French,http://www.wikidata.org/entity/Q34261,http://www.wikidata.org/entity/Q790,https://www.wikidata.org/wiki/http://www.wikidata.org/entity/Q790,Wikidata SPARQL snapshot (2026-08-25),structured,v1,"{""continent"": ""North America"", ""country"": ""Haiti"", ""entity"": ""Port-au-Prince"", ""language"": ""French""}",C_train,S_test,code/generate_cs_dataset.py,template-v1,20260825
